id,url,snippet,source,headline,date,desk,section,type,word_count,locations,subjects
5a95ab8b10f40f00018c356f,https://www.nytimes.com/2018/02/27/briefing/syria-global-warming-taiwan.html,Here’s what you need to know to start your day.,The New York Times,"Syria, Global Warming, Taiwan: Your Wednesday Briefing",2018-02-27,NYTNow,Briefing,briefing,1277,[],[]
5b438b86068401528a2ba719,https://www.nytimes.com/2018/07/09/business/dealbook/xiaomi-chinese-tech-ipos.html,The smartphone maker disappointed investors in its first day of trading. Other Chinese tech giants have reason to believe that they could fare better.,The New York Times,Why Xiaomi’s Offering May Not Spell Trouble for Other Chinese Unicorns,2018-07-09,Business,Business Day,News,632,[],['Initial Public Offerings']
5bc126af068401528a2dfee9,https://www.nytimes.com/2018/10/12/opinion/iran-sanctions-trump.html,Some American officials appear to hope that resumed sanctions on Iran will lead to a popular uprising. Have they thought that through?,The New York Times,War by Other Means,2018-10-12,Editorial,Opinion,Editorial,995,['Iran'],"['United States International Relations', 'Embargoes and Sanctions', 'Nuclear Weapons']"
5b307aea068401528a2b7225,https://www.nytimes.com/2018/06/23/world/europe/vatican-child-pornography-carlo-alberto-capella.html,"In the first trial of its kind, Msgr. Carlo Alberto Capella, who was recalled from his post in Washington in September, admitted possessing and distributing illicit images.",The New York Times,Vatican Court Sentences Cleric to 5 Years on Child Pornography Charges,2018-06-23,Foreign,World,News,632,"['Washington (DC)', 'Vatican City']","['Priests', 'Child Abuse and Neglect', 'Child Pornography', 'Sex Crimes', 'Clergy']"
5bbb1c99068401528a2df022,https://www.nytimes.com/2018/10/08/lens/dayanita-singh-photo-books.html,"For Dayanita Singh, photography is inseparable from its presentation, and she has spent years experimenting with unusual photo book formats to display her work.",The New York Times,The Photo Book as Art Object,2018-10-08,Photo,Lens,News,2291,[],"['Photography', 'Art', 'Archives and Records', 'Book Trade and Publishing']"
5ba0d331068401528a2db956,https://www.nytimes.com/2018/09/18/world/asia/japan-submarine-south-china-sea.html,"A Japanese submarine participated in war games in the crucial waters and is now visiting Vietnam, signaling a more assertive pushback against China.",The New York Times,"With a Submarine, Japan Sends a Message in the South China Sea",2018-09-18,Foreign,World,News,937,"['Japan', 'South China Sea', 'Vietnam']",['Submarines and Submersibles']
5bdfa1fa3a125f5075bf892c,https://www.nytimes.com/2018/11/04/us/politics/trump-iran-sanctions.html,"Mr. Trump is gambling that Iran will not restart its nuclear program, that Europeans will not risk violating the sanctions, and that the Tehran government will return to the negotiating table.",The New York Times,"Reimposing Iran Sanctions, Trump Places 3 Bets (One a Long Shot)",2018-11-05,Washington,U.S.,News Analysis,1175,['Iran'],"['Embargoes and Sanctions', 'United States International Relations', 'United States Politics and Government', 'Economic Conditions and Trends']"
5c01bdfb3a125f5075bfcefd,https://www.nytimes.com/2018/11/30/briefing/g20-marriott-immigration.html,Here’s what you need to know at the end of the day.,The New York Times,"G-20, Marriott, Immigration: Your Friday Evening Briefing",2018-11-30,NYTNow,Briefing,briefing,1197,[],[]
5c1a88e33a125f5075bffee0,https://www.nytimes.com/2018/12/19/world/asia/pakistan-china-belt-road-military.html,"Under a program China insisted was peaceful, Pakistan is cooperating on distinctly defense-related projects, including a secret plan to build new fighter jets.",The New York Times,China’s ‘Belt and Road’ Plan in Pakistan Takes a Military Turn,2018-12-19,Foreign,World,News,2600,"['Pakistan', 'China', 'Gwadar (Pakistan)', 'Sri Lanka']","['Military Aircraft', 'Defense and Military Forces', 'Infrastructure (Public Works)', 'Foreign Investments', 'Satellites', 'Navigation']"
5be0a07c3a125f5075bf8b65,https://www.nytimes.com/2018/11/05/business/energy-environment/oil-prices-iran-sanctions.html,Markets have taken the Trump administration’s move in stride so far. But experts differ on whether a reduction in output could yet prove disruptive.,The New York Times,Iran Sanctions and Oil Prices: Who’ll Feel the Pain? ,2018-11-05,Business,Business Day,News,1025,"['Iran', 'Saudi Arabia']","['Oil (Petroleum) and Gasoline', 'United States International Relations', 'Embargoes and Sanctions', 'International Trade and World Market', 'Prices (Fares, Fees and Rates)', 'United States Politics and Government']"
